date,year,name,isholiday,holidaycategory,description
20250101,2025,中華民國開國紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
20250104,2025,,是,星期六、星期日,
20250105,2025,,是,星期六、星期日,
20250111,2025,,是,星期六、星期日,
20250112,2025,,是,星期六、星期日,
20250118,2025,,是,星期六、星期日,
20250119,2025,,是,星期六、星期日,
20250125,2025,,是,星期六、星期日,
20250126,2025,,是,星期六、星期日,
20250127,2025,,是,調整放假日,全國各機關學校放假一日，小年夜(一月二十七日)適逢星期一，調整為放假日，並於二月八日補行上班一日。
20250128,2025,農曆除夕,是,放假之紀念日及節日,
20250129,2025,春節,是,放假之紀念日及節日,
20250130,2025,春節,是,放假之紀念日及節日,
20250131,2025,春節,是,放假之紀念日及節日,
20250201,2025,,是,星期六、星期日,
20250202,2025,,是,星期六、星期日,
20250208,2025,,否,補行上班日,
20250209,2025,,是,星期六、星期日,
20250215,2025,,是,星期六、星期日,
20250216,2025,,是,星期六、星期日,
20250222,2025,,是,星期六、星期日,
20250223,2025,,是,星期六、星期日,
20250228,2025,和平紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
20250301,2025,,是,星期六、星期日,
20250302,2025,,是,星期六、星期日,
20250308,2025,,是,星期六、星期日,
20250309,2025,,是,星期六、星期日,
20250315,2025,,是,星期六、星期日,
20250316,2025,,是,星期六、星期日,
20250322,2025,,是,星期六、星期日,
20250323,2025,,是,星期六、星期日,
20250329,2025,,是,星期六、星期日,
20250330,2025,,是,星期六、星期日,
20250403,2025,,是,補假,
20250404,2025,兒童節及民族掃墓節,是,放假之紀念日及節日,全國各機關學校放假一日，兒童節與民族掃墓節同一日，於四月三日補假一日。
20250405,2025,,是,星期六、星期日,
20250406,2025,,是,星期六、星期日,
20250412,2025,,是,星期六、星期日,
20250413,2025,,是,星期六、星期日,
20250419,2025,,是,星期六、星期日,
20250420,2025,,是,星期六、星期日,
20250426,2025,,是,星期六、星期日,
20250427,2025,,是,星期六、星期日,
20250501,2025,勞動節,是,特定節日,勞工放假一日。
20250503,2025,,是,星期六、星期日,
20250504,2025,,是,星期六、星期日,
20250510,2025,,是,星期六、星期日,
20250511,2025,,是,星期六、星期日,
20250517,2025,,是,星期六、星期日,
20250518,2025,,是,星期六、星期日,
20250524,2025,,是,星期六、星期日,
20250525,2025,,是,星期六、星期日,
20250530,2025,,是,補假,
20250531,2025,端午節,是,放假之紀念日及節日,全國各機關學校放假一日。
20250601,2025,,是,星期六、星期日,
20250607,2025,,是,星期六、星期日,
20250608,2025,,是,星期六、星期日,
20250614,2025,,是,星期六、星期日,
20250615,2025,,是,星期六、星期日,
20250621,2025,,是,星期六、星期日,
20250622,2025,,是,星期六、星期日,
20250628,2025,,是,星期六、星期日,
20250629,2025,,是,星期六、星期日,
20250705,2025,,是,星期六、星期日,
20250706,2025,,是,星期六、星期日,
20250712,2025,,是,星期六、星期日,
20250713,2025,,是,星期六、星期日,
20250719,2025,,是,星期六、星期日,
20250720,2025,,是,星期六、星期日,
20250726,2025,,是,星期六、星期日,
20250727,2025,,是,星期六、星期日,
20250802,2025,,是,星期六、星期日,
20250803,2025,,是,星期六、星期日,
20250809,2025,,是,星期六、星期日,
20250810,2025,,是,星期六、星期日,
20250816,2025,,是,星期六、星期日,
20250817,2025,,是,星期六、星期日,
20250823,2025,,是,星期六、星期日,
20250824,2025,,是,星期六、星期日,
20250830,2025,,是,星期六、星期日,
20250831,2025,,是,星期六、星期日,
20250903,2025,軍人節,是,特定節日,軍人依國防部規定辦理。
20250906,2025,,是,星期六、星期日,
20250907,2025,,是,星期六、星期日,
20250913,2025,,是,星期六、星期日,
20250914,2025,,是,星期六、星期日,
20250920,2025,,是,星期六、星期日,
20250921,2025,,是,星期六、星期日,
20250927,2025,,是,星期六、星期日,
20250928,2025,,是,放假之紀念日及節日,
20250929,2025,,是,補假,9/28（日）假日，於9/29（一）補假一日
20251004,2025,,是,星期六、星期日,
20251005,2025,,是,星期六、星期日,
20251006,2025,中秋節,是,放假之紀念日及節日,全國各機關學校放假一日。
20251010,2025,國慶日,是,放假之紀念日及節日,全國各機關學校放假一日。
20251011,2025,,是,星期六、星期日,
20251012,2025,,是,星期六、星期日,
20251018,2025,,是,星期六、星期日,
20251019,2025,,是,星期六、星期日,
20251024,2025,,是,補假,光復暨金門古寧頭大捷紀念日適逢星期六，則於前一日10/24(五)補假一日
20251025,2025,,是,放假之紀念日及節日,
20251026,2025,,是,星期六、星期日,
20251101,2025,,是,星期六、星期日,
20251102,2025,,是,星期六、星期日,
20251108,2025,,是,星期六、星期日,
20251109,2025,,是,星期六、星期日,
20251115,2025,,是,星期六、星期日,
20251116,2025,,是,星期六、星期日,
20251122,2025,,是,星期六、星期日,
20251123,2025,,是,星期六、星期日,
20251129,2025,,是,星期六、星期日,
20251130,2025,,是,星期六、星期日,
20251206,2025,,是,星期六、星期日,
20251207,2025,,是,星期六、星期日,
20251213,2025,,是,星期六、星期日,
20251214,2025,,是,星期六、星期日,
20251220,2025,,是,星期六、星期日,
20251221,2025,,是,星期六、星期日,
20251225,2025,行憲紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
20251227,2025,,是,星期六、星期日,
20251228,2025,,是,星期六、星期日,
20260101,2026,中華民國開國紀念日,是,放假之紀念日及節日,全國各機關學校放假一日。
20260103,2026,,是,星期六、星期日,
20260104,2026,,是,星期六、星期日,
20260110,2026,,是,星期六、星期日,
20260111,2026,,是,星期六、星期日,
20260117,2026,,是,星期六、星期日,
20260118,2026,,是,星期六、星期日,
20260124,2026,,是,星期六、星期日,
20260125,2026,,是,星期六、星期日,
20260131,2026,,是,星期六、星期日,
20260201,2026,,是,星期六、星期日,
20260207,2026,,是,星期六、星期日,
20260208,2026,,是,星期六、星期日,
20260214,2026,,是,星期六、星期日,
20260215,2026,,是,星期六、星期日,小年夜逢例假日，於2/20（五）補假一日
20260216,2026,除夕,是,放假之紀念日及節日,
20260217,2026,春節,是,放假之紀念日及節日,
20260218,2026,春節,是,放假之紀念日及節日,
20260219,2026,春節,是,放假之紀念日及節日,
20260220,2026,春節,是,補假,補假一日
20260221,2026,,是,星期六、星期日,
20260222,2026,,是,星期六、星期日,
20260227,2026,,是,補假,和平紀念日逢例假日，於2/27（五）補假一日
20260228,2026,和平紀念日,是,放假之紀念日及節日,
20260301,2026,,是,星期六、星期日,
20260307,2026,,是,星期六、星期日,
20260308,2026,,是,星期六、星期日,
20260314,2026,,是,星期六、星期日,
20260315,2026,,是,星期六、星期日,
20260321,2026,,是,星期六、星期日,
20260322,2026,,是,星期六、星期日,
20260328,2026,,是,星期六、星期日,
20260329,2026,,是,星期六、星期日,
20260403,2026,,是,補假,
20260404,2026,兒童節,是,放假之紀念日及節日,全國各機關學校放假一日，4/4（六）兒童節逢例假日，於4/3（五）補假一日。
20260405,2026,民族掃墓節,是,放假之紀念日及節日,4/5（日）清明節逢例假日，於4/6（一）補假一日
20260406,2026,,是,補假,
20260411,2026,,是,星期六、星期日,
20260412,2026,,是,星期六、星期日,
20260418,2026,,是,星期六、星期日,
20260419,2026,,是,星期六、星期日,
20260425,2026,,是,星期六、星期日,
20260426,2026,,是,星期六、星期日,
20260501,2026,勞動節,是,特定節日,全國各機關學校及勞工放假一日。
20260502,2026,,是,星期六、星期日,
20260503,2026,,是,星期六、星期日,
20260509,2026,,是,星期六、星期日,
20260510,2026,,是,星期六、星期日,
20260516,2026,,是,星期六、星期日,
20260517,2026,,是,星期六、星期日,
20260523,2026,,是,星期六、星期日,
20260524,2026,,是,星期六、星期日,
20260530,2026,,是,星期六、星期日,
20260531,2026,,是,星期六、星期日,
20260606,2026,,是,星期六、星期日,
20260607,2026,,是,星期六、星期日,
20260613,2026,,是,星期六、星期日,
20260614,2026,,是,星期六、星期日,
20260619,2026,端午節,是,放假之紀念日及節日,全國各機關學校放假一日。
20260620,2026,,是,星期六、星期日,
20260621,2026,,是,星期六、星期日,
20260627,2026,,是,星期六、星期日,
20260628,2026,,是,星期六、星期日,
20260704,2026,,是,星期六、星期日,
20260705,2026,,是,星期六、星期日,
20260711,2026,,是,星期六、星期日,
20260712,2026,,是,星期六、星期日,
20260718,2026,,是,星期六、星期日,
20260719,2026,,是,星期六、星期日,
20260725,2026,,是,星期六、星期日,
20260726,2026,,是,星期六、星期日,
20260801,2026,,是,星期六、星期日,
20260802,2026,,是,星期六、星期日,
20260808,2026,,是,星期六、星期日,
20260809,2026,,是,星期六、星期日,
20260815,2026,,是,星期六、星期日,
20260816,2026,,是,星期六、星期日,
20260822,2026,,是,星期六、星期日,
20260823,2026,,是,星期六、星期日,
20260829,2026,,是,星期六、星期日,
20260830,2026,,是,星期六、星期日,
20260903,2026,軍人節,是,特定節日,軍人依國防部規定辦理。
20260905,2026,,是,星期六、星期日,
20260906,2026,,是,星期六、星期日,
20260912,2026,,是,星期六、星期日,
20260913,2026,,是,星期六、星期日,
20260919,2026,,是,星期六、星期日,
20260920,2026,,是,星期六、星期日,
20260925,2026,中秋節,是,放假之紀念日及節日,全國各機關學校放假一日。
20260926,2026,,是,星期六、星期日,
20260927,2026,,是,星期六、星期日,
20260928,2026,教師節,是,放假之紀念日及節日,全國各機關學校放假一日。
20261003,2026,,是,星期六、星期日,
20261004,2026,,是,星期六、星期日,
20261009,2026,,是,補假,
20261010,2026,國慶日,是,放假之紀念日及節日,10/10（六）國慶日逢例假日，於10/9（五）補假一日
20261011,2026,,是,星期六、星期日,
20261017,2026,,是,星期六、星期日,
20261018,2026,,是,星期六、星期日,
20261024,2026,,是,星期六、星期日,
20261025,2026,光復節,是,放假之紀念日及節日,10/25（日）台灣光復節逢例假日，於10/26（一）補假一日
20261026,2026,,是,補假,
20261031,2026,,是,星期六、星期日,
20261101,2026,,是,星期六、星期日,
20261107,2026,,是,星期六、星期日,
20261108,2026,,是,星期六、星期日,
20261114,2026,,是,星期六、星期日,
20261115,2026,,是,星期六、星期日,
20261121,2026,,是,星期六、星期日,
20261122,2026,,是,星期六、星期日,
20261128,2026,,是,星期六、星期日,
20261129,2026,,是,星期六、星期日,
20261205,2026,,是,星期六、星期日,
20261206,2026,,是,星期六、星期日,
20261212,2026,,是,星期六、星期日,
20261213,2026,,是,星期六、星期日,
20261219,2026,,是,星期六、星期日,
20261220,2026,,是,星期六、星期日,
20261225,2026,行憲紀念日,是,放假之紀念日及節日,
20261226,2026,,是,星期六、星期日,
20261227,2026,,是,星期六、星期日,
